matter_circuit_arabic,English_Name
16 جنوب -137 س,16 South – 137 s
إداري,Administrative
إداري أول أكتوبر,Administrative – First of October
استئناف,Appeal
جنح مستأنف,Appeals – Misdemeanors
مباني,Buildings
طعون,Cassations
رئيس النيابة/ أحمد المرصفاوي,Chief Prosecutor/ Ahmed El-Marsafawy
مدني,Civil
مدني -عمال,Civil – Labor
تجاري,Commercial
مفوضين,Commissioners
مفوضين استئناف,Commissioners Appeal
لجنة (2) إنهاء المنازعات المالية,Committee (2) for Financial Disputes Resolution
لجنة شركات رقم 27,Companies Committee No. 27
تعويضات,Compensations
اللجنة التأديبية,Disciplinary Committee
اقتصادي,Economic
دائرة اقتصادية,Economic Circuit
جنح اقتصادي,Economic Misdemeanors
فحص,Examination
جنايات,Felonies
الأولى,First
لجنة تظلمات,Grievances Committee
أفراد,Individuals
لجنة تفتيش,Inspection Committee
لجنة تفتيش برئاسة/ خالد مفتاح,Inspection Committee chaired by Khaled Moftah
استثمار,Investment
قطاع خدمات الاستثمار,Investment Services Sector
عمال,Labor
اللجنة الوزارية لفض منازعات الاستثمار,Ministerial Committee for Investment Dispute Resolution
جنح,Misdemeanors
جنح أول أكتوبر,Misdemeanors – First of October
الاثنين تجاري ب,Monday Commercial Session B
أول أكتوبر,October First
مدني جزئي,Partial Civil
لجنة تصالح برئاسة/ عبد العزيز الروبي,Reconciliation Committee chaired by Abdel Aziz El-Rouby
حقوق وحريات,Rights and Freedoms
جنح ثاني,Second Misdemeanors
موضوعي,Subject Matter
ضرائب,Taxes
ضرائب ورسوم,Taxes and Fees
الخميس تجاري,Thursday Commercial Session
الثلاثاء مدني,Tuesday Civil Session
الثلاثاء تجاري,Tuesday Commercial Session
مستعجل,Urgent
مستأنف مستعجل,Urgent Appeals
