Cases Table Schema Audit,,
,,
field_name,data_type,longest_value_chars
id,int,4
client_id,bigint,3
client_in_case_name,varchar,67
opponent_in_case_name,varchar,0
contract_id,bigint,3
engagement_letter_no,varchar,5
matter_name_ar,varchar,88
matter_name_en,varchar,173
matter_description,text,563
matter_status,varchar,6
matter_status_id,bigint,3
matter_category,varchar,11
matter_category_id,bigint,3
court_id,bigint,2
circuit_name_id,bigint,3
circuit_serial_id,bigint,2
circuit_shift_id,bigint,3
matter_circuit_legacy,bigint,0
circuit_secretary,bigint,3
court_floor,bigint,0
court_hall,bigint,0
matter_degree,varchar,11
matter_degree_id,bigint,3
matter_court_text,varchar,0
matter_destination,varchar,25
matter_destination_id,bigint,2
matter_importance,varchar,5
matter_importance_id,bigint,3
matter_evaluation,text,199
matter_start_date,date,10
matter_end_date,date,10
matter_asked_amount,decimal,9
matter_judged_amount,decimal,8
matter_shelf,varchar,7
matter_partner,varchar,0
matter_partner_id,bigint,2
lawyer_a,varchar,29
lawyer_b,varchar,12
fee_letter,decimal,0
allocated_budget,text,0
team_id,int,1
legal_opinion,text,352
financial_provision,text,301
current_status,text,151
notes_1,text,156
notes_2,text,235
client_and_capacity,text,0
client_capacity_id,bigint,3
opponent_and_capacity,text,0
opponent_id,bigint,3
opponent_capacity_id,bigint,3
client_branch,varchar,71
matter_branch_id,bigint,0
client_type,varchar,5
client_type_id,bigint,1
matter_select,tinyint,1
created_by,bigint,1
updated_by,bigint,1
created_at,timestamp,19
updated_at,timestamp,19
deleted_at,timestamp,0
client_capacity_note,text,12
opponent_capacity_note,text,0
